Name,Position,Skills,Outside Perception,Affiliation,Confirmation Vote %,Years of Experience,Previous Government Service,Degree Level,Institution,Loyalty Score,Policy Priority,Generation,Gender,Home State,Military Service
Donald Trump,Executive Leadership,"Business management, real estate development, media communications, political strategy","Donald Trump is viewed as one of the most polarizing political figures in modern American history. Supporters see him as a successful businessman who challenges the political establishment and prioritizes American interests, while critics view him as divisive, prone to controversy, and unorthodox in his approach to governance. His second term has been marked by aggressive policy implementation and loyalty-based appointments.",Republican,N/A,45,President 2017-2021,BS,Wharton School,5,"America First agenda, immigration, tariffs",Baby Boomer,Male,Florida/New York,No
J.D. Vance,Executive Leadership,"Law, venture capital, political strategy, public speaking, writing","J.D. Vance is perceived as a young, intellectual conservative who rose to prominence through his memoir 'Hillbilly Elegy.' Initially a Trump critic, his transformation into a staunch Trump ally has drawn both praise from conservatives and accusations of opportunism from critics. He is seen as representing a new generation of populist conservatism focused on working-class concerns.",Republican,N/A,8,U.S. Senator (Ohio) 2023-2025,JD,Yale Law School,5,Working-class economic populism,Millennial,Male,Ohio,Yes
Marco Rubio,Foreign Affairs,"Foreign policy, diplomacy, legislative affairs, public speaking, Latin American relations","Marco Rubio is widely regarded as a traditional foreign policy hawk with strong credentials on international affairs. His unanimous Senate confirmation (99-0) reflects broad respect for his experience, though some note the irony of his serving under Trump after their contentious 2016 primary battle. He is seen as bringing a more conventional diplomatic approach to the administration while adapting to Trump's 'America First' priorities.",Republican,100%,24,"U.S. Senator (Florida) 2011-2025, Florida House Speaker",JD,University of Miami,4,"China competition, Latin America",Gen X,Male,Florida,No
Scott Bessent,Economic Policy,"Finance, hedge fund management, economic analysis, investment strategy, macroeconomics","Scott Bessent is viewed as a highly credentialed Wall Street figure who brings significant financial expertise to the administration. As a former George Soros protégé turned Trump ally, he represents an interesting ideological journey. Markets generally view him favorably as a stabilizing influence, though progressives are skeptical of his Wall Street background and advocacy for tax cuts and deregulation.",Republican,70.1%,35,None,BA,Yale University,4,"Tax cuts, deregulation, tariff strategy",Gen X,Male,South Carolina,No
Pete Hegseth,Defense & Security,"Military operations, media communications, veteran advocacy, political commentary","Pete Hegseth is one of the most controversial cabinet members, viewed by supporters as a combat veteran who will prioritize military readiness and by critics as dangerously inexperienced for leading the Pentagon. His confirmation was among the most contentious, with allegations of sexual misconduct and workplace issues. He is seen as a loyalist who will implement Trump's vision but lacks traditional defense secretary credentials.",Republican,50.5%,20,None,MPA,Harvard Kennedy School,5,"Military readiness, woke military policies",Millennial,Male,Minnesota,Yes
Pam Bondi,Justice & Legal Affairs,"Prosecution, legal strategy, state government, political advocacy, litigation",Pam Bondi is perceived as a loyal Trump ally with substantial prosecutorial experience as Florida's former Attorney General. Critics view her as overly partisan and point to past controversies including a Trump Foundation donation during a fraud investigation. Supporters see her as a tough prosecutor who will restore what they view as balance to the Justice Department after years of what they perceive as politicization.,Republican,54.0%,30,Florida Attorney General 2011-2019,JD,Stetson University,5,"Conservative legal agenda, prosecutorial reform",Gen X,Female,Florida,No
Doug Burgum,Natural Resources & Energy,"Business leadership, technology, energy policy, state governance, economic development","Doug Burgum is generally viewed as a competent businessman and former governor who brings executive experience and energy sector knowledge. His overwhelming Senate confirmation (80-17) suggests bipartisan respect. He is seen as more moderate and pragmatic than some Trump appointees, focused on energy dominance and economic development while also chairing the National Energy Council.",Republican,82.5%,40,North Dakota Governor 2016-2024,MBA,Stanford University,4,"Energy dominance, fossil fuel development",Baby Boomer,Male,North Dakota,No
Brooke Rollins,Agriculture & Rural Development,"Policy development, legal affairs, conservative advocacy, agricultural policy, rural economics","Brooke Rollins is viewed as a conservative policy expert with deep ties to the Trump administration from his first term. She is seen as ideologically committed to conservative principles while being more institutionally experienced than some appointees. Critics view her as overly partisan, while supporters appreciate her focus on rural America and agricultural interests.",Republican,72.0%,25,White House Domestic Policy Council Director 2020-2021,JD,University of Texas,5,"Rural development, agricultural deregulation",Gen X,Female,Texas,No
Howard Lutnick,Commerce & Trade,"Financial services, business management, crisis leadership, international trade, investment banking","Howard Lutnick is perceived as a powerful Wall Street figure who rebuilt Cantor Fitzgerald after 9/11, demonstrating resilience and leadership. However, he is also viewed as one of the least popular cabinet members according to recent reports, with concerns about potential conflicts of interest and his aggressive approach to trade policy. His business acumen is respected but his political judgment is questioned.",Republican,53.1%,40,None,BA,Haverford College,5,"Aggressive tariffs, trade protection",Baby Boomer,Male,New York,No
Lori Chavez-DeRemer,Labor & Employment,"Labor relations, small business management, legislative affairs, workforce development","Lori Chavez-DeRemer is seen as an unusual Trump pick due to her relatively pro-labor stance and endorsement by the Teamsters union. Her appointment surprised many as she represents a more moderate Republican approach to labor issues. She received significant bipartisan support (67-32 confirmation), suggesting she is viewed as less ideological than other appointees and potentially a bridge-builder.",Republican,67.7%,15,U.S. House (Oregon) 2023-2025,Some college,No degree,3,"Labor-business cooperation, workforce training",Gen X,Female,Oregon,No
Robert F. Kennedy Jr.,Health & Human Services,"Environmental law, public advocacy, writing, political activism, legal litigation","Robert F. Kennedy Jr. is one of the most controversial cabinet members, viewed by critics as a dangerous purveyor of vaccine misinformation and conspiracy theories who could undermine public health. Supporters see him as a truth-teller challenging pharmaceutical industry influence and advocating for health freedom. His appointment has alarmed the medical establishment while energizing anti-establishment health activists.",Independent,52.0%,40,None,JD,University of Virginia,4,"Vaccine skepticism, chronic disease, food safety",Baby Boomer,Male,New York,No
Scott Turner,Housing & Urban Development,"Community development, faith-based initiatives, sports leadership, urban policy, nonprofit management","Scott Turner is viewed as a former NFL player turned community advocate with experience from Trump's first term. He is seen as bringing a faith-based approach to urban development and opportunity zones. While less controversial than some appointees, critics question whether his experience matches the scope of HUD's mission, while supporters appreciate his grassroots community focus.",Republican,55.6%,15,"White House Opportunity and Revitalization Council 2019-2021, Texas House",BA,University of Illinois,5,"Opportunity zones, faith-based housing",Gen X,Male,Texas,No
Sean Duffy,Transportation & Infrastructure,"Legislative affairs, media communications, legal practice, public policy, infrastructure planning","Sean Duffy is perceived as a former congressman and reality TV personality who brings legislative experience and media savvy. His strong Senate confirmation (77-22) suggests he is viewed as relatively mainstream and competent. He is seen as a Trump loyalist but with sufficient experience to manage the department effectively, though critics note his lack of deep transportation expertise.",Republican,77.8%,20,U.S. House (Wisconsin) 2011-2019,JD,William Mitchell College of Law,4,"Infrastructure investment, deregulation",Gen X,Male,Wisconsin,No
Chris Wright,Energy & Natural Resources,"Energy technology, oil and gas development, engineering, business innovation, climate policy","Chris Wright is viewed as a fracking industry executive and climate change skeptic who will prioritize fossil fuel development. Environmental groups see his appointment as alarming, while energy industry supporters view him as a pragmatic innovator who understands energy markets. His technical expertise is acknowledged even by critics, though his policy positions are deeply controversial.",Republican,60.8%,35,None,MS,UC Berkeley,4,"Fossil fuel expansion, energy independence",Gen X,Male,Colorado,No
Linda McMahon,Education & Training,"Business management, entertainment industry, political fundraising, organizational leadership, small business advocacy","Linda McMahon is perceived as a successful businesswoman (WWE co-founder) and Trump loyalist with limited education policy expertise. Critics view her appointment as ideologically driven, expecting her to pursue dismantling the Department of Education as Trump has advocated. Supporters see her business acumen as valuable for reforming what they view as a bloated bureaucracy.",Republican,53.1%,45,SBA Administrator 2017-2019,BA,East Carolina University,5,"School choice, department elimination",Baby Boomer,Female,Connecticut,No
Doug Collins,Veterans Affairs,"Legislative affairs, military service, legal practice, veteran advocacy, chaplaincy","Doug Collins is viewed as a military veteran and former congressman with genuine commitment to veterans' issues. His strong Senate confirmation (77-23) reflects bipartisan respect for his service and dedication. He is seen as one of the more qualified and less controversial appointees, with both military credentials and legislative experience relevant to the role.",Republican,77.0%,30,U.S. House (Georgia) 2013-2021,JD,John Marshall Law School,5,"Veterans healthcare, benefits expansion",Baby Boomer,Male,Georgia,Yes
Kristi Noem,Homeland Security & Border Control,"State governance, political strategy, ranching and agriculture, crisis management, border security advocacy","Kristi Noem is viewed as a staunch Trump ally and immigration hardliner who will aggressively implement border security policies. Her lack of law enforcement background has raised concerns, but her executive experience as governor is seen as relevant. She is controversial for past statements and actions, including a widely criticized anecdote about shooting her dog, but is respected by conservatives for her unwavering stance on border issues.",Republican,63.4%,18,"South Dakota Governor 2019-2025, U.S. House 2011-2019",BA,South Dakota State University,5,"Border security, immigration enforcement",Gen X,Female,South Dakota,No
Jamieson Greer,Trade & Commerce,"Trade law, international negotiations, legal strategy, tariff policy, economic diplomacy","Jamieson Greer is perceived as a trade lawyer with experience from Trump's first term implementing tariff policies. He is seen as a competent technocrat who will execute Trump's aggressive trade agenda, particularly regarding China. While less publicly known than other appointees, trade experts view him as knowledgeable but ideologically aligned with protectionist policies that many economists criticize.",Republican,N/A,20,USTR Chief of Staff 2017-2021,JD,Georgetown University,5,"China tariffs, trade protectionism",Gen X,Male,Texas,No
Tulsi Gabbard,Intelligence & National Security,"Military service, foreign policy, political strategy, media communications, legislative affairs","Tulsi Gabbard is one of the most controversial appointees, having switched from Democrat to Republican. Intelligence community veterans express deep concern about her past statements sympathetic to adversaries and her lack of intelligence experience. Supporters see her as a principled anti-interventionist and military veteran. Her appointment has been called unprecedented and potentially dangerous by critics.",Republican,52.5%,20,"U.S. House (Hawaii) 2013-2021, Hawaii State Legislature",BS,Hawaii Pacific University,4,"Anti-interventionism, intelligence reform",Millennial,Female,Hawaii,Yes
Michael Waltz,Diplomatic Relations,"Military special operations, national security policy, legislative affairs, counterterrorism, strategic planning","Michael Waltz is viewed as a Green Beret veteran and China hawk with strong national security credentials. His appointment to UN Ambassador after serving as National Security Advisor shows his trusted status. He is seen as competent and experienced, though his hardline positions on China and other issues align with Trump's confrontational approach to international relations.",Republican,52.2%,30,"U.S. House (Florida) 2019-2025, NSC 2018-2019, National Security Advisor 2025",BA,Virginia Military Institute,5,"China competition, counterterrorism",Gen X,Male,Florida,Yes
Russell Vought,Budget & Management,"Budget policy, conservative advocacy, government reorganization, policy implementation, political strategy","Russell Vought is perceived as a key architect of Project 2025 and a committed ideologue focused on restructuring the federal government. Critics view him as dangerous to civil service protections and democratic norms, while supporters see him as essential to implementing conservative governance reforms. He is seen as one of the most powerful and ideologically driven figures in the administration.",Republican,51.0%,20,"OMB Director 2020-2021, Deputy OMB Director 2018-2020",BA,Wheaton College,5,"Government restructuring, Schedule F",Gen X,Male,Virginia,No
Lee Zeldin,Environmental Protection,"Legislative affairs, environmental law, political strategy, legal practice, regulatory policy","Lee Zeldin is viewed as a former congressman with limited environmental expertise who is expected to roll back climate regulations. Environmental groups see his appointment as alarming, while business interests and conservatives view him as bringing needed balance to what they see as regulatory overreach. His political skills are acknowledged but environmental credentials are questioned.",Republican,N/A,15,U.S. House (New York) 2015-2023,JD,Albany Law School,4,"Deregulation, climate policy rollback",Millennial,Male,New York,Yes
Kelly Loeffler,Small Business & Entrepreneurship,"Finance, business management, political fundraising, financial services, investment strategy","Kelly Loeffler is perceived as a wealthy businesswoman and former senator who lost her seat in 2021. Critics view her as a political opportunist who shifted positions to align with Trump, while supporters see her business experience as valuable for small business advocacy. Her wealth and Wall Street background create some tension with small business constituency she serves.",Republican,N/A,25,U.S. Senator (Georgia) 2020-2021,MBA,DePaul University,5,"Small business deregulation, access to capital",Gen X,Female,Georgia,No
John Ratcliffe,Intelligence & National Security,"Intelligence oversight, legal affairs, counterterrorism, legislative affairs, national security law","John Ratcliffe is viewed as a Trump loyalist who served as DNI in the first term and was seen as politicizing intelligence. Critics worry about his partisan approach to intelligence, while supporters see him as someone who will challenge intelligence community groupthink. His legal background and prior experience are acknowledged, but concerns about independence persist.",Republican,N/A,25,"DNI 2020-2021, U.S. House (Texas) 2015-2020",JD,Southern Methodist University,5,"Intelligence politicization concerns, China focus",Baby Boomer,Male,Texas,No
