Name,Skill,Position,Outside Perception,Affiliation,Confirmation Vote %,Years of Experience,Previous Government Service,Degree Level,Institution,Loyalty Score,Policy Priority,Generation,Gender,Home State,Military Service
[[Donald Trump]],[[Business management]],Executive Leadership,"Donald Trump is viewed as one of the most polarizing political figures in modern American history. Supporters see him as a successful businessman who challenges the political establishment and prioritizes American interests, while critics view him as divisive, prone to controversy, and unorthodox in his approach to governance. His second term has been marked by aggressive policy implementation and loyalty-based appointments.",Republican,N/A,45,President 2017-2021,BS,Wharton School,5,"America First agenda, immigration, tariffs",Baby Boomer,Male,Florida/New York,No
[[Donald Trump]],[[real estate development]],Executive Leadership,"Donald Trump is viewed as one of the most polarizing political figures in modern American history. Supporters see him as a successful businessman who challenges the political establishment and prioritizes American interests, while critics view him as divisive, prone to controversy, and unorthodox in his approach to governance. His second term has been marked by aggressive policy implementation and loyalty-based appointments.",Republican,N/A,45,President 2017-2021,BS,Wharton School,5,"America First agenda, immigration, tariffs",Baby Boomer,Male,Florida/New York,No
[[Donald Trump]],[[media communications]],Executive Leadership,"Donald Trump is viewed as one of the most polarizing political figures in modern American history. Supporters see him as a successful businessman who challenges the political establishment and prioritizes American interests, while critics view him as divisive, prone to controversy, and unorthodox in his approach to governance. His second term has been marked by aggressive policy implementation and loyalty-based appointments.",Republican,N/A,45,President 2017-2021,BS,Wharton School,5,"America First agenda, immigration, tariffs",Baby Boomer,Male,Florida/New York,No
[[Donald Trump]],[[political strategy]],Executive Leadership,"Donald Trump is viewed as one of the most polarizing political figures in modern American history. Supporters see him as a successful businessman who challenges the political establishment and prioritizes American interests, while critics view him as divisive, prone to controversy, and unorthodox in his approach to governance. His second term has been marked by aggressive policy implementation and loyalty-based appointments.",Republican,N/A,45,President 2017-2021,BS,Wharton School,5,"America First agenda, immigration, tariffs",Baby Boomer,Male,Florida/New York,No
[[J.D. Vance]],[[Law]],Executive Leadership,"J.D. Vance is perceived as a young, intellectual conservative who rose to prominence through his memoir 'Hillbilly Elegy.' Initially a Trump critic, his transformation into a staunch Trump ally has drawn both praise from conservatives and accusations of opportunism from critics. He is seen as representing a new generation of populist conservatism focused on working-class concerns.",Republican,N/A,8,U.S. Senator (Ohio) 2023-2025,JD,Yale Law School,5,Working-class economic populism,Millennial,Male,Ohio,Yes
[[J.D. Vance]],[[venture capital]],Executive Leadership,"J.D. Vance is perceived as a young, intellectual conservative who rose to prominence through his memoir 'Hillbilly Elegy.' Initially a Trump critic, his transformation into a staunch Trump ally has drawn both praise from conservatives and accusations of opportunism from critics. He is seen as representing a new generation of populist conservatism focused on working-class concerns.",Republican,N/A,8,U.S. Senator (Ohio) 2023-2025,JD,Yale Law School,5,Working-class economic populism,Millennial,Male,Ohio,Yes
[[J.D. Vance]],[[political strategy]],Executive Leadership,"J.D. Vance is perceived as a young, intellectual conservative who rose to prominence through his memoir 'Hillbilly Elegy.' Initially a Trump critic, his transformation into a staunch Trump ally has drawn both praise from conservatives and accusations of opportunism from critics. He is seen as representing a new generation of populist conservatism focused on working-class concerns.",Republican,N/A,8,U.S. Senator (Ohio) 2023-2025,JD,Yale Law School,5,Working-class economic populism,Millennial,Male,Ohio,Yes
[[J.D. Vance]],[[public speaking]],Executive Leadership,"J.D. Vance is perceived as a young, intellectual conservative who rose to prominence through his memoir 'Hillbilly Elegy.' Initially a Trump critic, his transformation into a staunch Trump ally has drawn both praise from conservatives and accusations of opportunism from critics. He is seen as representing a new generation of populist conservatism focused on working-class concerns.",Republican,N/A,8,U.S. Senator (Ohio) 2023-2025,JD,Yale Law School,5,Working-class economic populism,Millennial,Male,Ohio,Yes
[[J.D. Vance]],[[writing]],Executive Leadership,"J.D. Vance is perceived as a young, intellectual conservative who rose to prominence through his memoir 'Hillbilly Elegy.' Initially a Trump critic, his transformation into a staunch Trump ally has drawn both praise from conservatives and accusations of opportunism from critics. He is seen as representing a new generation of populist conservatism focused on working-class concerns.",Republican,N/A,8,U.S. Senator (Ohio) 2023-2025,JD,Yale Law School,5,Working-class economic populism,Millennial,Male,Ohio,Yes
[[Marco Rubio]],[[Foreign policy]],Foreign Affairs,"Marco Rubio is widely regarded as a traditional foreign policy hawk with strong credentials on international affairs. His unanimous Senate confirmation (99-0) reflects broad respect for his experience, though some note the irony of his serving under Trump after their contentious 2016 primary battle. He is seen as bringing a more conventional diplomatic approach to the administration while adapting to Trump's 'America First' priorities.",Republican,100%,24,"U.S. Senator (Florida) 2011-2025, Florida House Speaker",JD,University of Miami,4,"China competition, Latin America",Gen X,Male,Florida,No
